id,section_data_set_id,structure_id,sum_pixels,sum_expressing_pixels,sum_pixel_intensity,sum_expressing_pixel_intensity,expression_density,expression_energy,voxel_energy_mean,voxel_energy_cv
254948653,79556696,15995,1747880,220706,90849500,34799600,0.126271,19.9096,19.925,0.248373
254950240,79556696,16367,178115,21002.1,8484210,3368330,0.117913,18.911,18.9018,0.0991097
254945210,79556696,708,2168080,312817,120011000,45267300,0.144283,20.879,20.879,0.0822021
254954173,79556696,111220752,254842,26443.9,12671600,4084890,0.103766,16.0291,16.1435,0.144264
254946056,79556696,958,2141610,199751,109356000,31142100,0.0932711,14.5414,14.6045,0.263716
254954111,79556696,17591,174193,17158.4,8508180,2647650,0.0985024,15.1995,15.1934,0.108805
254949888,79556696,16235,1215970,152029,59171300,22762600,0.125027,18.7198,18.7214,0.218628
254946979,79556696,15592,1423670,195231,83746400,29651900,0.137133,20.8278,20.8411,0.23698
254951194,79556696,16595,103527,14847.2,5827290,2413450,0.143413,23.3122,23.3216,0.0513548
254951875,79556696,16768,259621,22451.1,11469500,3333160,0.0864763,12.8385,12.8466,0.187541
254950222,79556696,16359,607754,67037.4,29191600,10100900,0.110304,16.6201,16.8359,0.197375
254948537,79556696,15961,1346250,160115,91024300,26226700,0.118934,19.4812,19.4346,0.240382
254951730,79556696,16701,599910,64198.8,35794200,10607900,0.107014,17.6826,17.2835,0.404909
254954239,79556696,124372464,69938,3838.63,2411240,565563,0.0548862,8.08663,8.08663,0.109568
254949268,79556696,16140,1289770,104206,54323100,18353900,0.0807946,14.2304,14.3056,0.335705
254952147,79556696,16841,2317200,120703,131973000,20372500,0.0520899,8.79184,8.68889,0.392145
254952816,79556696,17042,1202630,115745,54886700,17661900,0.0962439,14.6861,14.6795,0.162248
254946679,79556696,10683,8543710,387363,482467000,68198700,0.045339,7.98233,8.11413,0.617425
254948103,79556696,15865,1573320,136299,73239200,20238600,0.0866315,12.8636,12.8319,0.280927
254952762,79556696,17004,2000570,197563,90939100,30059000,0.0987534,15.0252,14.9577,0.309663
254942758,79556696,30,34969,3449.44,1634180,455967,0.0986429,13.0392,0,0
254947904,79556696,15790,34969,3542.74,1729600,528659,0.101311,15.1179,0,0
254954202,79556696,111220832,69719.6,7163.09,2748390,1087340,0.102741,15.5959,15.5958,0.113667
254948983,79556696,16067,640813,103817,39687300,16892900,0.162008,26.3616,26.384,0.0772262
254954183,79556696,111220782,12952.6,634.242,458237,85732.9,0.0489664,6.61898,0,0
254950748,79556696,16494,125695,16000.7,6342540,2524900,0.127298,20.0875,20.5608,0.128077
254946444,79556696,1127,3332360,425371,178226000,72363300,0.127648,21.7153,21.5522,0.390778
254950436,79556696,16410,69938,10826.8,4194810,1723910,0.154805,24.6492,24.6492,0.0294266
254950446,79556696,16412,655474,90407,37079900,14471300,0.137926,22.0776,22.099,0.129966
254951228,79556696,16602,871084,106620,46984500,17242200,0.122399,19.7939,19.7819,0.155101
254951287,79556696,16619,559236,65420.8,29385000,10177200,0.116983,18.1984,18.1972,0.125989
254946290,79556696,1057,7749420,1199020,473645000,195869000,0.154724,25.2753,25.2964,0.15791
254946302,79556696,1064,17588300,1087060,1259510000,195863000,0.0618058,11.136,11.1371,0.619174
254954032,79556696,17484,189428,29121.1,11916600,4660440,0.153732,24.6027,24.3088,0.190411
254944605,79556696,529,314721,43431.5,17176100,6390550,0.138,20.3054,20.3054,0.0949473
254948711,79556696,16018,75363300,9500290,4437810000,1552310000,0.12606,20.5977,20.6033,0.320178
254954054,79556696,17510,208966,14843.6,9118290,2334020,0.0710333,11.1693,11.1727,0.147128
254947186,79556696,15671,137615,13653.7,6751040,2052790,0.0992164,14.9169,14.9193,0.420269
254943778,79556696,321,50432.9,5769.68,2413380,872477,0.114403,17.2998,0,0
254946454,79556696,1132,13602900,1256590,593609000,189790000,0.092377,13.9522,13.8287,0.339696
254950208,79556696,16348,1555070,177356,75391300,27074800,0.11405,17.4107,17.4311,0.189742
254949831,79556696,16217,937492,122265,50513900,18109600,0.130417,19.317,19.3018,0.164376
254951455,79556696,16628,394702,52496.8,21305000,8572640,0.133004,21.7193,21.8166,0.0927251
254953975,79556696,17441,34969,3247.22,1657180,528102,0.0928599,15.102,0,0
254945334,79556696,750,221214,17333,8901920,2990920,0.0783541,13.5205,15.3088,0.149609
254943634,79556696,286,419628,45092.6,21497000,6213860,0.107459,14.808,14.808,0.10673
254949851,79556696,16218,244783,34688.3,14234000,5183680,0.141711,21.1767,21.1767,0.0446254
254950313,79556696,16379,103036,5011.89,3505540,784366,0.0486423,7.61256,7.85463,0.341389
254953859,79556696,17387,731663,61332.5,26081000,9321070,0.0838262,12.7396,13.0146,0.269462
254947917,79556696,15793,1709590,212288,87808500,32047800,0.124175,18.7459,18.7701,0.1678
254944205,79556696,438,320931,32702.4,15184300,5741460,0.101898,17.89,18.3759,0.252332
254951475,79556696,16632,1517820,167475,75544900,26865000,0.110339,17.6997,17.7192,0.153867
254945496,79556696,818,9712010,716858,387515000,105818000,0.0738114,10.8955,10.9278,0.199849
254949884,79556696,16232,546354,54071.4,22927900,8002780,0.0989678,14.6476,14.6445,0.19001
254945339,79556696,754,16446600,1122100,627852000,169192000,0.0682266,10.2873,10.3679,0.497413
254946082,79556696,968,5329980,339456,284968000,54626600,0.063688,10.2489,10.231,0.325243
254947138,79556696,15633,419515,30365.2,14667800,4303320,0.0723817,10.2578,10.2585,0.319789
254953336,79556696,17219,34912.3,2288.78,1297970,324515,0.065558,9.29514,0,0
254950904,79556696,16539,1358030,154545,67569300,24764600,0.1138,18.2356,18.1925,0.102147
254943575,79556696,267,209740,14796.2,9863630,2151100,0.0705456,10.256,10.2562,0.108827
254945890,79556696,930,3057830,404356,166182000,61917700,0.132236,20.2489,20.2066,0.103871
