id,section_data_set_id,structure_id,sum_pixels,sum_expressing_pixels,sum_pixel_intensity,sum_expressing_pixel_intensity,expression_density,expression_energy,voxel_energy_mean,voxel_energy_cv
189565841,3,16723,314721,32977.4,12135300,4680360,0.104783,14.8715,14.8715,0.168887
189569844,3,17497,868428,90623.2,34201400,13861700,0.104353,15.9618,15.9272,0.275478
189566749,3,16882,1328820,156064,55076800,22820600,0.117445,17.1736,17.1736,0.0933423
189549474,3,103,69938,10427.1,3486540,1455550,0.149091,20.812,20.812,0.0598558
189567747,3,17074,2028200,210273,80793200,32493300,0.103674,16.0207,16.0207,0.200215
189571123,3,111220896,104907,9368.72,3750120,1376770,0.089305,13.1237,13.1237,0.123743
189564391,3,16544,1223920,141300,50803000,19325900,0.115449,15.7902,15.7902,0.106761
189554910,3,721,3811620,596589,196015000,84286900,0.156518,22.1131,22.1131,0.121993
189556703,3,1039,139876,11135.6,5527170,1577150,0.0796104,11.2753,11.2753,0.0693922
189567635,3,17054,1958260,186338,76178400,28596400,0.0951547,14.6029,14.6029,0.201903
189569493,3,17414,13971.5,157.675,77432.1,27444.2,0.0112854,1.9643,0,0
189569442,3,17390,612374,51223.7,19576700,8235940,0.0836478,13.4492,12.7472,0.498441
189564664,3,16590,104907,9247.07,3886740,1328590,0.0881454,12.6644,12.6644,0.0826322
189550846,3,409,3811620,554634,171619000,79704800,0.145511,20.911,20.911,0.285604
189567154,3,17000,209814,22934.5,8932960,3216800,0.109309,15.3317,15.3317,0.055283
189567213,3,17010,104907,13930,4769680,2093250,0.132784,19.9534,19.9534,0.0298307
189558108,3,15658,104907,12970,4793600,1734030,0.123633,16.5292,16.5292,0.100358
189562198,3,16084,5769880,758325,258765000,105723000,0.131428,18.3233,18.3233,0.186502
189564083,3,16482,629442,67535.6,25128300,9206580,0.107294,14.6266,14.6266,0.0982469
189570247,3,17568,401413,29911.8,12415000,4718350,0.0745161,11.7543,12.4544,0.469092
189549218,3,67,209814,25466.9,8654780,3613980,0.121378,17.2247,17.2247,0.0422968
189556315,3,974,3986460,638514,195480000,91830000,0.160171,23.0355,23.0355,0.0571019
189560352,3,15940,8970320,1047460,345857000,152653000,0.116769,17.0175,16.9951,0.344981
189568344,3,17173,314619,19995.2,9498840,3058320,0.0635537,9.72071,9.71916,0.616326
189570363,3,17585,139876,15646.3,5896850,2326600,0.111859,16.6333,16.6333,0.0399274
189562149,3,16078,839256,86790,35050000,11802800,0.103413,14.0634,14.0634,0.194446
189566262,3,16784,209814,26629.1,8840000,3790350,0.126918,18.0653,18.0653,0.263308
189555770,3,874,349690,33290.1,13067600,4734670,0.095199,13.5396,13.5396,0.15036
189570559,3,17594,220632,1241.28,1413080,201736,0.00562603,0.914354,0.997011,1.13221
189570612,3,17606,34969,2920.22,1197480,430832,0.0835089,12.3204,0,0
189567387,3,17048,34969,3571.37,1354750,579220,0.102129,16.5638,0,0
189567948,3,17100,594472,36066.2,25601300,5196490,0.0606693,8.74135,8.74135,0.20728
189563489,3,16338,874225,100820,36930100,14751600,0.115325,16.874,16.874,0.238303
189556187,3,950,1328820,216131,67562300,31455600,0.162649,23.6718,23.6718,0.0696817
189566571,3,16847,839256,68329.3,29280300,9476610,0.0814166,11.2917,11.2917,0.374189
189559376,3,15829,3461420,465625,147799000,65908700,0.134519,19.0409,19.0398,0.156936
189563435,3,16325,7588270,719437,288761000,101953000,0.0948091,13.4357,13.4357,0.308687
189564006,3,16466,3741680,431745,157570000,60894900,0.115388,16.2747,16.2747,0.124479
189570780,3,111220666,1328820,102249,46446500,15102900,0.0769473,11.3656,11.3656,0.257432
189551850,3,515,944105,107824,39580300,14397800,0.114208,15.2502,15.2498,0.248558
189570868,3,111220714,139876,6117.71,4989410,872278,0.0437367,6.23608,6.23608,0.0937094
189558703,3,15755,2342900,268183,100003000,37130500,0.114466,15.8481,15.848,0.271285
189555281,3,791,349652,56993.8,17137200,8168340,0.163001,23.3613,23.3612,0.0546542
189566040,3,16755,34969,4699.58,1651340,673521,0.134393,19.2605,0,0
189563001,3,16240,209814,22983.9,8668780,3064110,0.109544,14.6039,14.6039,0.319496
189555102,3,750,349690,34982.2,12417600,5150680,0.100038,14.7293,14.7293,0.312901
189567598,3,17053,8077840,805756,320522000,122882000,0.099749,15.2122,15.2122,0.21985
189555647,3,839,524535,64058.3,24645200,9342820,0.122124,17.8116,17.8116,0.0836092
189554968,3,727,874225,105574,35794200,15223900,0.120763,17.4141,17.4141,0.397921
189563056,3,16254,559504,66735.7,24144800,9042570,0.119277,16.1618,16.1618,0.165169
189563125,3,16268,104907,12220,4417130,1734300,0.116484,16.5318,16.5318,0.0964383
189563537,3,16355,7203610,771474,288886000,112341000,0.107095,15.5951,15.5951,0.230071
189558644,3,15738,596207000,63525600,23257900000,9108390000,0.10655,15.2772,15.2467,0.435083
189563370,3,16299,384659,38012.5,14528500,5363420,0.0988214,13.9433,13.9433,0.305999
189554767,3,703,31262100,3860060,1310150000,549285000,0.123474,17.5703,17.5703,0.204334
189565535,3,16706,2272980,262819,93817900,36091800,0.115627,15.8786,15.8786,0.145506
189555712,3,861,1853360,169614,64397800,24459800,0.0915172,13.1976,13.1976,0.358903
189549767,3,228,731822,50128.8,29465700,7110260,0.0684986,9.71582,9.69476,0.325548
189562162,3,16080,594473,66726.8,25664800,9174880,0.112245,15.4336,15.4336,0.258347
189555564,3,819,349690,41069.8,14769300,5708420,0.117446,16.3242,16.3242,0.124465
189550676,3,378,23503800,3354130,1043940000,479055000,0.142706,20.3821,20.3708,0.221307
189558365,3,15700,34942.7,954.642,415964,130650,0.0273203,3.73899,0,0
189554397,3,656,7670880,632935,220386000,98705000,0.0825114,12.8675,12.7832,0.520382
189569299,3,17347,541891,29723.9,15650700,4985130,0.0548523,9.19951,8.83495,0.656308
189570217,3,17560,69938,8758.57,3396420,1306260,0.125233,18.6774,18.6774,0.150589
189563092,3,16262,34969,3792.11,1570880,512220,0.108442,14.6478,0,0
189554736,3,701,12239200,1337970,510064000,201510000,0.109319,16.4644,16.4644,0.186603
189559775,3,15872,839256,92425.3,35487500,12755600,0.110128,15.1987,15.1987,0.29417
189564357,3,16537,909194,80783.8,32876900,11282100,0.0888521,12.4089,12.4089,0.225095
189567139,3,16997,594473,65890.7,24815000,9291490,0.110839,15.6298,15.6298,0.10057
189563863,3,16436,1573600,183507,66408100,27116200,0.116615,17.2319,17.2319,0.222391
189563806,3,16419,2342920,242701,92550400,32647800,0.103589,13.9346,13.9346,0.288121
189567821,3,17084,139876,12334.5,5343110,1753190,0.0881815,12.5339,12.5339,0.262748
189571096,3,111220876,734134,92211.8,33968500,13916200,0.125606,18.9559,18.9557,0.0856861
189568490,3,17221,15026600,1206140,512603000,190264000,0.0802668,12.6618,12.4634,0.485294
189563831,3,16428,1258880,139952,50890900,19705700,0.111172,15.6533,15.6533,0.12165
189566999,3,16962,699380,73606.4,27282500,11377500,0.105245,16.268,16.268,0.0932546
189557586,3,10737,2762550,181336,102083000,26507500,0.0656408,9.59531,9.59531,0.370075
189564109,3,16493,629442,73030.1,26967000,10471300,0.116024,16.6359,16.6359,0.136659
189563467,3,16332,4301190,501122,184157000,72376200,0.116508,16.827,16.827,0.210603
189559165,3,15808,69937.9,7192.01,2896480,963575,0.102834,13.7776,13.7776,0.103482
189569421,3,17380,4862450,384614,148410000,61359200,0.0790988,12.619,12.52,0.502477
189549772,3,230,37979.5,137.593,137536,22377.5,0.00362282,0.5892,0,0
189549097,3,7,5104440,424044,185564000,65225600,0.0830736,12.7782,12.7761,0.292167
189555259,3,785,733346,65765,23312600,9300850,0.089678,12.6827,12.6779,0.410971
189555505,3,809,6888890,779161,278212000,105462000,0.113104,15.3089,15.3089,0.209406
189560363,3,15942,8970320,1047460,345857000,152653000,0.116769,17.0175,16.9951,0.344981
189566100,3,16764,944163,75854.4,34213900,10358000,0.0803404,10.9706,10.9706,0.264919
189551379,3,469,34969,4157.57,1674250,545722,0.118893,15.6059,0,0
